RULING,RULING_DATE,Found_HTS8,brief_description
NY N351404,7/24/25,9505.90.60,"Festive, carnival or other entertainment articles nesoi and parts & accessories thereof nesoi"
NY N351404,7/24/25,9505.90.60,"Festive, carnival or other entertainment articles nesoi and parts & accessories thereof nesoi"
NY N351404,7/24/25,9903.01.25,
NY N351422,7/24/25,9903.01.26,
NY N351422,7/24/25,8208.40.60,"Knives and cutting blades (o/than lawnmower blades) for agricultural, horticultural or forestry machines, and base metal parts thereof"
NY N351422,7/24/25,8208.40.60,"Knives and cutting blades (o/than lawnmower blades) for agricultural, horticultural or forestry machines, and base metal parts thereof"
NY N351422,7/24/25,8208.40.60,"Knives and cutting blades (o/than lawnmower blades) for agricultural, horticultural or forestry machines, and base metal parts thereof"
NY N351422,7/24/25,8208.40.60,"Knives and cutting blades (o/than lawnmower blades) for agricultural, horticultural or forestry machines, and base metal parts thereof"
NY N351422,7/24/25,8208.40.60,"Knives and cutting blades (o/than lawnmower blades) for agricultural, horticultural or forestry machines, and base metal parts thereof"
NY N351422,7/24/25,8208.40.60,"Knives and cutting blades (o/than lawnmower blades) for agricultural, horticultural or forestry machines, and base metal parts thereof"
NY N350527,7/23/25,9903.01.01,
NY N350527,7/23/25,0202.30.80,"Bovine meat cuts, boneless, frozen, not descr in gen. note 15 or add. US note 3 to Ch. 2"
NY N350527,7/23/25,0202.30.80,"Bovine meat cuts, boneless, frozen, not descr in gen. note 15 or add. US note 3 to Ch. 2"
NY N350527,7/23/25,0202.30.80,"Bovine meat cuts, boneless, frozen, not descr in gen. note 15 or add. US note 3 to Ch. 2"
NY N350527,7/23/25,0202.30.80,"Bovine meat cuts, boneless, frozen, not descr in gen. note 15 or add. US note 3 to Ch. 2"
NY N350527,7/23/25,0202.30.80,"Bovine meat cuts, boneless, frozen, not descr in gen. note 15 or add. US note 3 to Ch. 2"
NY N350527,7/23/25,0202.30.80,"Bovine meat cuts, boneless, frozen, not descr in gen. note 15 or add. US note 3 to Ch. 2"
NY N350527,7/23/25,0202.30.80,"Bovine meat cuts, boneless, frozen, not descr in gen. note 15 or add. US note 3 to Ch. 2"
NY N350527,7/23/25,9903.01.27,
NY N350527,7/23/25,0202.30.50,"Bovine meat cuts, boneless, not processed, frozen, descr in add. US note 3 to Ch. 2"
NY N350527,7/23/25,0202.30.50,"Bovine meat cuts, boneless, not processed, frozen, descr in add. US note 3 to Ch. 2"
